ordering,fill_type,solver,runtime(s),resid_norm
none,  ILU(0), GMRES, 1.3525e+00, 4.8119e-03
AMD,  ILU(0), GMRES, 9.0408e-01, 1.6050e+04
RCM,  ILU(0), GMRES, 4.2629e-02, 5.0113e+03
qorder,  ILU(0), GMRES, 8.5788e-01, 1.9301e+04
none,  ILU(1), GMRES, 1.4152e+00, 4.3963e+00
AMD,  ILU(1), GMRES, 9.9529e-01, 1.7441e+03
RCM,  ILU(1), GMRES, 1.5012e+00, 4.7791e+02
qorder,  ILU(1), GMRES, 1.3709e+00, 1.7012e+04
none,  ILU(2), GMRES, 8.4450e-01, 1.0485e-05
AMD,  ILU(2), GMRES, 9.7942e-01, 3.9097e-05
RCM,  ILU(2), GMRES, 1.6558e+00, 6.6278e-06
qorder,  ILU(2), GMRES, 1.7910e+00, 1.4594e+02
none,  ILU(3), GMRES, 7.6555e-01, 6.8822e-06
AMD,  ILU(3), GMRES, 6.0388e-01, 1.6641e-05
RCM,  ILU(3), GMRES, 1.2557e+00, 6.0286e-06
qorder,  ILU(3), GMRES, 1.1116e+00, 3.9278e-06
none,  ILU(4), GMRES, 8.0117e-01, 1.2090e-05
AMD,  ILU(4), GMRES, 4.1472e-01, 5.4443e-06
RCM,  ILU(4), GMRES, 6.6551e-01, 3.7545e-06
qorder,  ILU(4), GMRES, 7.7645e-01, 1.2234e-06
none,  ILU(5), GMRES, 7.6081e-01, 6.1082e-06
AMD,  ILU(5), GMRES, 3.7712e-01, 1.2039e-05
RCM,  ILU(5), GMRES, 9.1382e-01, 2.4040e-06
qorder,  ILU(5), GMRES, 7.7483e-01, 1.4335e-06
none,  ILU(10), GMRES, 8.8548e-01, 4.3011e-07
AMD,  ILU(10), GMRES, 2.6694e-01, 3.0174e-06
RCM,  ILU(10), GMRES, 6.9759e-01, 5.5960e-07
qorder,  ILU(10), GMRES, 9.8481e-01, 7.4794e-07
none, LU, LU, 0.5, 1e10
AMD,  LU, LU, 3.9760e-01, 2.3555e-09
RCM,  LU, LU, 5.0347e+00, 5.3596e-09
qorder,  LU, LU, 7.7637e+00, 5.7339e-09
