ordering,fill_type,solver,p_factor,runtime(s),resid_norm
qorder,  ILU(2),GMRES,  0.1000, 1.2116e+00, 5.6003e-02
qorder,  ILU(2),GMRES,  0.2500, 1.6216e+00, 3.6328e+00
qorder,  ILU(2),GMRES,  0.5000, 1.8794e+00, 4.5477e-01
qorder,  ILU(2),GMRES,  1.0000, 1.9857e+00, 1.0043e+03
qorder,  ILU(2),GMRES,  2.0000, 1.8333e+00, 1.4609e-05
qorder,  ILU(2),GMRES,  4.0000, 2.0260e+00, 8.4956e-06
qorder,  ILU(3),GMRES,  0.1000, 9.3347e-01, 7.3286e-06
qorder,  ILU(3),GMRES,  0.2500, 1.3339e+00, 6.4227e-06
qorder,  ILU(3),GMRES,  0.5000, 1.1824e+00, 2.4191e-06
qorder,  ILU(3),GMRES,  1.0000, 1.7429e+00, 1.1533e-05
qorder,  ILU(3),GMRES,  2.0000, 1.4750e+00, 3.2459e-06
qorder,  ILU(3),GMRES,  4.0000, 1.6478e+00, 2.5013e-06
qorder,  ILU(4),GMRES,  0.1000, 7.7382e-01, 8.3596e-06
qorder,  ILU(4),GMRES,  0.2500, 1.0317e+00, 9.8768e-06
qorder,  ILU(4),GMRES,  0.5000, 8.4602e-01, 3.5890e-06
qorder,  ILU(4),GMRES,  1.0000, 8.9525e-01, 2.0422e-06
qorder,  ILU(4),GMRES,  2.0000, 9.3068e-01, 4.9970e-06
qorder,  ILU(4),GMRES,  4.0000, 1.0463e+00, 5.2880e-06
qorder,  ILU(5),GMRES,  0.1000, 7.8965e-01, 4.7454e-06
qorder,  ILU(5),GMRES,  0.2500, 1.0451e+00, 2.9110e-06
qorder,  ILU(5),GMRES,  0.5000, 8.3235e-01, 6.6892e-06
qorder,  ILU(5),GMRES,  1.0000, 9.7975e-01, 5.1681e-06
qorder,  ILU(5),GMRES,  2.0000, 1.1328e+00, 2.6722e-06
qorder,  ILU(5),GMRES,  4.0000, 1.2614e+00, 2.2908e-06
qorder,  ILU(10),GMRES,  0.1000, 1.4724e+00, 2.2228e-06
qorder,  ILU(10),GMRES,  0.2500, 1.1899e+00, 1.5946e-06
qorder,  ILU(10),GMRES,  0.5000, 1.1098e+00, 1.6278e-06
qorder,  ILU(10),GMRES,  1.0000, 1.1473e+00, 4.7782e-07
qorder,  ILU(10),GMRES,  2.0000, 1.1714e+00, 1.2137e-06
qorder,  ILU(10),GMRES,  4.0000, 1.4387e+00, 9.6364e-07
