t/R,nxe,NDOF,solver,pc_complexity,lin_runtime(s)
1.000000000000000e+00,128,99072,LU,1.587803030303030e+01,5.804714600000001e-01
1.000000000000000e+00,128,99072,ILU0,2.000000000000000e+00,4.436076300000000e-01
1.000000000000000e+00,128,99072,ILU1,3.707927489177489e+00,2.107246050000000e-01
1.000000000000000e+00,128,99072,ILU2,5.635227272727272e+00,1.471148050000000e-01
1.000000000000000e+00,128,99072,DJ,1.223376623376623e+00,6.586861300000001e-02
1.000000000000000e+00,128,99072,GSMC,1.223376623376623e+00,1.391026770000000e-01
1.000000000000000e+00,128,99072,CP,1.223376623376623e+00,5.483600900000000e-02
1.000000000000000e+00,128,99072,ASW,2.773160173160173e+00,9.207346399999999e-02
3.333333333333333e-01,128,99072,LU,1.587803030303030e+01,5.791993960000000e-01
3.333333333333333e-01,128,99072,ILU0,2.000000000000000e+00,4.503734420000000e-01
3.333333333333333e-01,128,99072,ILU1,3.702245670995671e+00,2.300521940000000e-01
3.333333333333333e-01,128,99072,ILU2,5.647050865800866e+00,1.456983630000000e-01
3.333333333333333e-01,128,99072,DJ,1.223376623376623e+00,6.728568200000000e-02
3.333333333333333e-01,128,99072,GSMC,1.223376623376623e+00,1.237570700000000e-01
3.333333333333333e-01,128,99072,CP,1.223376623376623e+00,4.962809200000000e-02
3.333333333333333e-01,128,99072,ASW,2.773160173160173e+00,8.901581100000000e-02
1.000000000000000e-01,128,99072,LU,1.587803030303030e+01,5.792129340000000e-01
1.000000000000000e-01,128,99072,ILU0,2.000000000000000e+00,8.390036190000000e-01
1.000000000000000e-01,128,99072,ILU1,3.704626623376623e+00,3.162381390000000e-01
1.000000000000000e-01,128,99072,ILU2,5.652462121212121e+00,1.998939990000000e-01
1.000000000000000e-01,128,99072,DJ,1.223376623376623e+00,8.208742700000000e-02
1.000000000000000e-01,128,99072,GSMC,1.223376623376623e+00,1.506015040000000e-01
1.000000000000000e-01,128,99072,CP,1.223376623376623e+00,6.124613800000000e-02
1.000000000000000e-01,128,99072,ASW,2.773160173160173e+00,1.018419200000000e-01
3.333333333333333e-02,128,99072,LU,1.587803030303030e+01,5.782918090000000e-01
3.333333333333333e-02,128,99072,ILU0,2.000000000000000e+00,2.246195381000000e+00
3.333333333333333e-02,128,99072,ILU1,3.703896103896104e+00,8.355094070000000e-01
3.333333333333333e-02,128,99072,ILU2,5.658901515151515e+00,5.002142100000000e-01
3.333333333333333e-02,128,99072,DJ,1.223376623376623e+00,1.157959970000000e-01
3.333333333333333e-02,128,99072,GSMC,1.223376623376623e+00,2.451012400000000e-01
3.333333333333333e-02,128,99072,CP,1.223376623376623e+00,8.978584600000000e-02
3.333333333333333e-02,128,99072,ASW,2.773160173160173e+00,1.233349630000000e-01
1.000000000000000e-02,128,99072,LU,1.587803030303030e+01,5.768015190000000e-01
1.000000000000000e-02,128,99072,ILU1,3.703923160173160e+00,1.649870034000000e+00
1.000000000000000e-02,128,99072,ILU2,5.647321428571429e+00,6.328635220000000e-01
1.000000000000000e-02,128,99072,DJ,1.223376623376623e+00,2.544127640000000e-01
1.000000000000000e-02,128,99072,GSMC,1.223376623376623e+00,4.645859030000000e-01
1.000000000000000e-02,128,99072,CP,1.223376623376623e+00,1.863737440000000e-01
1.000000000000000e-02,128,99072,ASW,2.773160173160173e+00,2.190792060000000e-01
3.333333333333334e-03,128,99072,LU,1.587803030303030e+01,5.777588550000000e-01
3.333333333333334e-03,128,99072,GSMC,1.223376623376623e+00,8.171453789999999e-01
3.333333333333334e-03,128,99072,CP,1.223376623376623e+00,3.259331590000000e-01
3.333333333333334e-03,128,99072,ASW,2.773160173160173e+00,2.625522390000000e-01
1.000000000000000e-03,128,99072,LU,1.587803030303030e+01,5.782122410000000e-01
1.000000000000000e-03,128,99072,CP,1.223376623376623e+00,4.272024570000000e-01
1.000000000000000e-03,128,99072,ASW,2.773160173160173e+00,1.807920750000000e-01
1.000000000000000e-03,128,99072,DJ,1.223376623376623e+00,2.460122854000000e+00
