t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
2.000000000000000e-03,16,1734,CFI4,8.926979529716087e-03,0.000000000000000e+00,1.210937800000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,32,6534,CFI4,3.496316333639234e-02,0.000000000000000e+00,3.102732700000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,64,25350,CFI4,1.291904116402822e-01,0.000000000000000e+00,5.656921200000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,128,99846,CFI4,3.960005099961101e-01,0.000000000000000e+00,1.445929600000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,256,396294,CFI4,8.181907153829954e-01,0.000000000000000e+00,5.460975870000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,512,1579014,CFI4,1.114725628693493e+00,0.000000000000000e+00,3.205956563000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,1024,6303750,CFI4,1.225529976977857e+00,0.000000000000000e+00,5.595987390000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,16,1734,MITC4,1.260845292790178e+00,0.000000000000000e+00,1.702491500000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,6534,MITC4,1.262010535961190e+00,0.000000000000000e+00,4.412452000000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,64,25350,MITC4,1.262300137703855e+00,0.000000000000000e+00,1.495158960000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,128,99846,MITC4,1.262372430253458e+00,0.000000000000000e+00,3.284050500000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,256,396294,MITC4,1.262390499462329e+00,0.000000000000000e+00,1.053023931000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,512,1579014,MITC4,1.262395024355390e+00,0.000000000000000e+00,3.471292420000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,1024,6303750,MITC4,1.262396192344515e+00,0.000000000000000e+00,9.862045275000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,8,1734,CFI9,1.261567370023930e+00,0.000000000000000e+00,1.654224400000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,16,6534,CFI9,1.266046738503813e+00,0.000000000000000e+00,4.104845900000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,8,1734,CFI9,1.261567370014216e+00,0.000000000000000e+00,1.787260900000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,16,6534,CFI9,1.266046738433157e+00,0.000000000000000e+00,4.554460400000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,25350,CFI9,1.267141024104206e+00,0.000000000000000e+00,4.295128280000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,8,1734,CFI9,1.261567370022024e+00,0.000000000000000e+00,1.707991900000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,16,6534,CFI9,1.266046738504311e+00,0.000000000000000e+00,4.080446400000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,25350,CFI9,1.267141024165217e+00,0.000000000000000e+00,4.026842740000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,64,99846,CFI9,1.267409493034166e+00,0.000000000000000e+00,2.314956797000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,128,396294,CFI9,1.267469583043810e+00,0.000000000000000e+00,8.179423823000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,256,1579014,CFI9,1.267479112630869e+00,0.000000000000000e+00,3.126538426800000e+01,0.000000000000000e+00,gmg
2.000000000000000e-03,8,1734,MITC9,1.233968985999542e+00,0.000000000000000e+00,1.745083400000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,16,6534,MITC9,1.233914569872169e+00,0.000000000000000e+00,4.456791200000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,25350,MITC9,1.233922661058267e+00,0.000000000000000e+00,7.086479310000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,64,99846,MITC9,1.233925951976209e+00,0.000000000000000e+00,6.986250957000000e+00,0.000000000000000e+00,gmg
