t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
1.000000000000000e-02,16,1734,CFI4,3.031330760388039e-03,0.000000000000000e+00,9.623422000000000e-03,0.000000000000000e+00,gmg
1.000000000000000e-02,32,6534,CFI4,9.574135406051440e-03,0.000000000000000e+00,2.485172400000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,64,25350,CFI4,2.025258699997412e-02,0.000000000000000e+00,3.397114100000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,128,99846,CFI4,2.802017185287026e-02,0.000000000000000e+00,7.106153599999999e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,256,396294,CFI4,3.098698474469404e-02,0.000000000000000e+00,1.646186520000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,512,1579014,CFI4,3.182920635575555e-02,0.000000000000000e+00,6.847734210000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,1024,6303750,CFI4,3.204694423570253e-02,0.000000000000000e+00,2.679429803000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,16,1734,MITC4,3.067527283058592e-02,0.000000000000000e+00,1.689533600000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,32,6534,MITC4,3.175936619376137e-02,0.000000000000000e+00,4.453667600000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,64,25350,MITC4,3.202986482961337e-02,0.000000000000000e+00,3.569069200000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,128,99846,MITC4,3.209745473303553e-02,0.000000000000000e+00,7.200882800000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,256,396294,MITC4,3.211435004596344e-02,0.000000000000000e+00,1.958745980000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,512,1579014,MITC4,3.211857369950669e-02,0.000000000000000e+00,7.867746160000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,1024,6303750,MITC4,3.211962956735363e-02,0.000000000000000e+00,3.027337521000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,8,1734,CFI9,2.922738893580115e-02,0.000000000000000e+00,1.623507800000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,16,6534,CFI9,3.158916247903636e-02,0.000000000000000e+00,3.994963000000000e-02,0.000000000000000e+00,direct
1.000000000000000e-02,32,25350,CFI9,3.205167048030763e-02,0.000000000000000e+00,5.091582600000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,64,99846,CFI9,3.211431665109607e-02,0.000000000000000e+00,1.545687100000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,128,396294,CFI9,3.211978084261163e-02,0.000000000000000e+00,4.644307360000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,256,1579014,CFI9,3.212015928740360e-02,0.000000000000000e+00,1.441579830000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,8,1734,MITC9,3.206028339407014e-02,0.000000000000000e+00,1.727759100000000e-02,0.000000000000000e+00,direct
