t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
2.000000000000000e-03,16,1734,CFI4,1.332115778534512e-04,0.000000000000000e+00,1.025595800000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,32,6534,CFI4,5.360215075002482e-04,0.000000000000000e+00,2.850851400000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,64,25350,CFI4,2.050585252060364e-03,0.000000000000000e+00,3.180408700000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,128,99846,CFI4,6.887267818903208e-03,0.000000000000000e+00,7.594176300000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,256,396294,CFI4,1.674943649616233e-02,0.000000000000000e+00,2.215805930000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,512,1579014,CFI4,2.608353750894776e-02,0.000000000000000e+00,6.123986840000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,1024,6303750,CFI4,3.030526853460054e-02,0.000000000000000e+00,2.783227787000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,2048,25190406,CFI4,3.158320816294040e-02,0.000000000000000e+00,1.025340324900000e+01,0.000000000000000e+00,gmg
2.000000000000000e-03,16,1734,MITC4,3.056543494829370e-02,0.000000000000000e+00,2.073120800000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,6534,MITC4,3.164806972679027e-02,0.000000000000000e+00,4.938735900000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,64,25350,MITC4,3.191818921344120e-02,0.000000000000000e+00,4.375774500000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-03,128,99846,MITC4,3.198568361258401e-02,0.000000000000000e+00,1.346595790000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,256,396294,MITC4,3.200255475941378e-02,0.000000000000000e+00,3.619067470000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,512,1579014,MITC4,3.200677255972274e-02,0.000000000000000e+00,1.411496458000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,1024,6303750,MITC4,3.200782692697213e-02,0.000000000000000e+00,3.489392966000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,2048,25190406,MITC4,3.200809063908450e-02,0.000000000000000e+00,1.700529746400000e+01,0.000000000000000e+00,gmg
2.000000000000000e-03,8,1734,CFI9,2.883620955339309e-02,0.000000000000000e+00,2.086829400000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,16,6534,CFI9,3.128275961668205e-02,0.000000000000000e+00,4.544862000000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,25350,CFI9,3.185726217921040e-02,0.000000000000000e+00,1.346077260000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,64,99846,CFI9,3.199678398360136e-02,0.000000000000000e+00,5.883658170000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,128,396294,CFI9,3.202794833690895e-02,0.000000000000000e+00,2.109356845000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,256,1579014,CFI9,3.203294329212242e-02,0.000000000000000e+00,1.075603895800000e+01,0.000000000000000e+00,gmg
2.000000000000000e-03,512,6303750,CFI9,3.203343826224747e-02,0.000000000000000e+00,4.059548554200000e+01,0.000000000000000e+00,gmg
2.000000000000000e-03,8,1734,MITC9,3.180288715521751e-02,0.000000000000000e+00,2.097722900000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,16,6534,MITC9,3.185928241860841e-02,0.000000000000000e+00,5.254096500000000e-02,0.000000000000000e+00,direct
2.000000000000000e-03,32,25350,MITC9,3.186305510381537e-02,0.000000000000000e+00,1.727586130000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,64,99846,MITC9,3.186341225001402e-02,0.000000000000000e+00,9.481762590000000e-01,0.000000000000000e+00,gmg
2.000000000000000e-03,128,396294,MITC9,3.186346553132047e-02,0.000000000000000e+00,5.592064355000000e+00,0.000000000000000e+00,gmg
2.000000000000000e-03,256,1579014,MITC9,3.186347553788746e-02,0.000000000000000e+00,1.176744401400000e+01,0.000000000000000e+00,gmg
2.000000000000000e-03,512,6303750,MITC9,3.186347369748843e-02,0.000000000000000e+00,3.994275924000000e+01,0.000000000000000e+00,gmg
2.000000000000000e-01,8,1734,AIG9,6.804170264475647e-02,0.000000000000000e+00,7.066771000000000e-03,0.000000000000000e+00,direct
2.000000000000000e-01,16,6534,AIG9,6.815108964130741e-02,0.000000000000000e+00,8.545385400000000e-03,0.000000000000000e+00,direct
2.000000000000000e-01,32,25350,AIG9,6.815766945875082e-02,0.000000000000000e+00,1.489428700000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-01,64,99846,AIG9,6.815807675447862e-02,0.000000000000000e+00,3.990979100000000e-02,0.000000000000000e+00,gmg
2.000000000000000e-01,128,396294,AIG9,6.815810218446479e-02,0.000000000000000e+00,1.030288730000000e-01,0.000000000000000e+00,gmg
