t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
1.000000000000000e-02,64,25350,CFI4,2.025258667859059e-02,0.000000000000000e+00,6.186795200000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,128,99846,CFI4,2.802017189023632e-02,0.000000000000000e+00,1.007207880000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,256,396294,CFI4,3.098698466040923e-02,0.000000000000000e+00,2.522889050000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,512,1579014,CFI4,3.182920631256196e-02,0.000000000000000e+00,8.389346540000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,1024,6303750,CFI4,3.204694420927261e-02,0.000000000000000e+00,3.268163298000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,64,25350,MITC4,3.202986510714671e-02,0.000000000000000e+00,6.671621899999999e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,128,99846,MITC4,3.209745483444288e-02,0.000000000000000e+00,1.192635640000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,256,396294,MITC4,3.211435004466232e-02,0.000000000000000e+00,2.859943160000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,512,1579014,MITC4,3.211857370888151e-02,0.000000000000000e+00,8.433257430000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,1024,6303750,MITC4,3.211962961670460e-02,0.000000000000000e+00,3.783016249000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,32,25350,CFI9,3.205167047874893e-02,0.000000000000000e+00,6.412103399999999e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,64,99846,CFI9,3.211431665083114e-02,0.000000000000000e+00,1.348520510000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,128,396294,CFI9,3.211978084351687e-02,0.000000000000000e+00,3.634745480000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,256,1579014,CFI9,3.212015928928048e-02,0.000000000000000e+00,1.254518836000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,512,6303750,CFI9,3.212018360005340e-02,0.000000000000000e+00,5.074776326000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,32,56454,CFI16,3.212019852136943e-02,0.000000000000000e+00,5.633997820000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,64,223494,CFI16,3.212018547599683e-02,0.000000000000000e+00,1.484627752000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,128,889350,CFI16,3.212018523776983e-02,0.000000000000000e+00,5.159570968000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,32,56454,LFI16,3.212623408726163e-02,0.000000000000000e+00,1.797845493000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,64,223494,LFI16,3.212018625274224e-02,0.000000000000000e+00,5.555315136000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,128,889350,LFI16,nan,0.000000000000000e+00,nan,0.000000000000000e+00,gmg
1.000000000000000e-02,16,3179,HR4,3.085716504667376e-02,0.000000000000000e+00,7.711388000000000e-02,5.770000000000000e-07,direct
1.000000000000000e-02,32,11979,HR4,3.194046846172546e-02,0.000000000000000e+00,2.833887360000000e-01,5.920000000000000e-07,direct
1.000000000000000e-02,64,46475,HR4,3.221077404105624e-02,0.000000000000000e+00,1.257094486000000e+00,5.950000000000000e-07,direct
1.000000000000000e-02,128,183051,HR4,3.227831568509760e-02,0.000000000000000e+00,6.330013239000000e+00,7.540000000000000e-07,direct
