t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
1.000000000000000e-02,64,25350,MITC4,3.202986510706436e-02,2.452064703516534e-02,4.735207600000000e-02,9.364781770000000e-01,gmg
1.000000000000000e-02,128,99846,MITC4,3.209745483442508e-02,2.459830421631078e-02,1.114500570000000e-01,6.348670711000000e+00,gmg
1.000000000000000e-02,256,396294,MITC4,3.211435004457647e-02,2.461819839008500e-02,2.672045310000000e-01,1.103246092300000e+01,gmg
1.000000000000000e-02,512,1579014,MITC4,3.211857370882898e-02,2.462643134346565e-02,8.862258600000000e-01,4.235306527000000e+01,gmg
1.000000000000000e-02,1024,6303750,MITC4,3.211962961580347e-02,2.462771331912626e-02,3.912698579000000e+00,2.523621587720000e+02,gmg
1.000000000000000e-02,32,6534,CFI4,9.574135510715141e-03,9.696945125894751e-03,2.593977300000000e-02,3.471016880000000e-01,gmg
1.000000000000000e-02,64,25350,CFI4,2.025258667859596e-02,1.871198663432960e-02,4.693155600000000e-02,7.874666710000000e-01,gmg
1.000000000000000e-02,128,99846,CFI4,2.802017189026408e-02,2.291777558939422e-02,7.334356900000000e-02,1.881861025000000e+00,gmg
1.000000000000000e-02,256,396294,CFI4,3.098698466048399e-02,2.418107649164088e-02,1.661337730000000e-01,7.867060275000000e+00,gmg
1.000000000000000e-02,512,1579014,CFI4,3.182920631286812e-02,2.451615490247550e-02,8.245174940000000e-01,4.107938682100000e+01,gmg
1.000000000000000e-02,1024,6303750,CFI4,3.204694420807609e-02,2.460007293574503e-02,3.352844904000000e+00,1.424596675830000e+02,gmg
1.000000000000000e-02,32,25350,CFI9,3.205167047879769e-02,0.000000000000000e+00,5.142026400000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,64,99846,CFI9,3.211431665071910e-02,0.000000000000000e+00,1.239511430000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,128,396294,CFI9,3.211978084264835e-02,0.000000000000000e+00,3.642140220000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,256,1579014,CFI9,3.212015928715894e-02,0.000000000000000e+00,1.136420300000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,512,6303750,CFI9,3.212018359873184e-02,0.000000000000000e+00,4.211742358000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,32,56454,CFI16,3.212019852146177e-02,0.000000000000000e+00,2.333455070000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,64,223494,CFI16,3.212018547602798e-02,0.000000000000000e+00,1.427288927000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,128,889350,CFI16,3.212018523741728e-02,0.000000000000000e+00,5.059141471000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,256,3548166,CFI16,3.212018523026666e-02,0.000000000000000e+00,2.474222671200000e+01,0.000000000000000e+00,gmg
1.000000000000000e-02,32,56454,LFI16,3.212019852056974e-02,0.000000000000000e+00,2.572654400000000e-01,0.000000000000000e+00,direct
1.000000000000000e-02,64,223494,LFI16,3.212018547426752e-02,0.000000000000000e+00,1.390970420000000e+00,0.000000000000000e+00,direct
1.000000000000000e-02,128,889350,LFI16,3.212018523195112e-02,0.000000000000000e+00,7.131882623000000e+00,0.000000000000000e+00,direct
1.000000000000000e-02,16,3179,HR4,3.085716504667468e-02,0.000000000000000e+00,7.547901600000000e-02,5.430000000000000e-07,direct
1.000000000000000e-02,32,11979,HR4,3.194046846172259e-02,0.000000000000000e+00,2.821960890000000e-01,5.990000000000000e-07,direct
1.000000000000000e-02,64,46475,HR4,3.221077404105720e-02,0.000000000000000e+00,1.297216437000000e+00,1.014000000000000e-06,direct
1.000000000000000e-02,128,183051,HR4,3.227831568510193e-02,0.000000000000000e+00,6.095286064000000e+00,6.120000000000000e-07,direct

