t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
1.000000000000000e-02,64,25350,MITC4,3.202986513482377e-02,2.452064703516534e-02,2.614411900000000e-02,9.562874870000000e-01,gmg
1.000000000000000e-02,128,99846,MITC4,3.209745484398106e-02,2.459830421631079e-02,4.975862700000000e-02,4.627668213000000e+00,gmg
1.000000000000000e-02,256,396294,MITC4,3.211435006771771e-02,2.461819839008500e-02,1.297172110000000e-01,8.160171294000000e+00,gmg
1.000000000000000e-02,512,1579014,MITC4,3.211857345857365e-02,2.462643134346565e-02,4.719057480000000e-01,3.188619059000000e+01,gmg
1.000000000000000e-02,1024,6303750,MITC4,3.211962959180613e-02,2.462771331912626e-02,2.166938303000000e+00,1.739557504810000e+02,gmg
1.000000000000000e-02,64,25350,CFI4,2.025258581403287e-02,1.871198663432961e-02,2.448128000000000e-02,8.279323290000000e-01,gmg
1.000000000000000e-02,128,99846,CFI4,2.802017189382268e-02,2.291777558939426e-02,4.639491700000000e-02,2.230449962000000e+00,gmg
1.000000000000000e-02,256,396294,CFI4,3.098698461085033e-02,2.418107649164088e-02,8.353263800000001e-02,6.089576417000000e+00,gmg
1.000000000000000e-02,512,1579014,CFI4,3.182920629612714e-02,2.451615490247707e-02,3.195338240000000e-01,1.956370894000000e+01,gmg
1.000000000000000e-02,1024,6303750,CFI4,3.204694422567111e-02,2.460007293578201e-02,1.190531241000000e+00,8.465445130200000e+01,gmg
1.000000000000000e-02,32,25350,CFI9,3.205167048028371e-02,0.000000000000000e+00,4.351593300000000e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,64,99846,CFI9,3.211431665055991e-02,0.000000000000000e+00,8.098693699999999e-02,0.000000000000000e+00,gmg
1.000000000000000e-02,128,396294,CFI9,3.211978084263985e-02,0.000000000000000e+00,2.010175150000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,256,1579014,CFI9,3.212015928888165e-02,0.000000000000000e+00,7.633448779999999e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,512,6303750,CFI9,3.212018360037878e-02,0.000000000000000e+00,2.245268888000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,32,56454,CFI16,3.212019852175668e-02,0.000000000000000e+00,1.835909320000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,64,223494,CFI16,3.212018547575728e-02,0.000000000000000e+00,8.935081940000000e-01,0.000000000000000e+00,gmg
1.000000000000000e-02,128,889350,CFI16,3.212018523863726e-02,0.000000000000000e+00,4.404419624000000e+00,0.000000000000000e+00,gmg
1.000000000000000e-02,256,3548166,CFI16,3.212018522938656e-02,0.000000000000000e+00,2.204468681200000e+01,0.000000000000000e+00,gmg
1.000000000000000e-02,32,56454,LFI16,3.212019852054319e-02,0.000000000000000e+00,2.674853450000000e-01,0.000000000000000e+00,direct
1.000000000000000e-02,64,223494,LFI16,3.212018547428403e-02,0.000000000000000e+00,1.339938999000000e+00,0.000000000000000e+00,direct
1.000000000000000e-02,128,889350,LFI16,3.212018523080738e-02,0.000000000000000e+00,7.381506077000000e+00,0.000000000000000e+00,direct
