t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
3.333333333333334e-03,16,1734,CFI4,3.673420354146482e-04,0.000000000000000e+00,2.053585100000000e-02,0.000000000000000e+00,gmg
3.333333333333334e-03,32,6534,CFI4,1.446031639077921e-03,0.000000000000000e+00,6.661887499999999e-02,0.000000000000000e+00,gmg
3.333333333333334e-03,64,25350,CFI4,5.114493116056148e-03,0.000000000000000e+00,8.665144399999999e-02,0.000000000000000e+00,gmg
3.333333333333334e-03,128,99846,CFI4,1.384259223950185e-02,0.000000000000000e+00,3.039653940000000e-01,0.000000000000000e+00,gmg
3.333333333333334e-03,256,396294,CFI4,2.411643304458944e-02,0.000000000000000e+00,1.053934312000000e+00,0.000000000000000e+00,gmg
3.333333333333334e-03,512,1579014,CFI4,2.960813646821740e-02,0.000000000000000e+00,4.102482276000000e+00,0.000000000000000e+00,gmg
3.333333333333334e-03,1024,6303750,CFI4,3.139527597325269e-02,0.000000000000000e+00,2.489816616500000e+01,0.000000000000000e+00,gmg
3.333333333333334e-03,16,1734,MITC4,3.058976696819070e-02,0.000000000000000e+00,9.682980900000000e-02,0.000000000000000e+00,gmg
3.333333333333334e-03,32,6534,MITC4,3.167383081876896e-02,0.000000000000000e+00,3.211541400000000e-01,0.000000000000000e+00,gmg
3.333333333333334e-03,64,25350,MITC4,3.194431792274462e-02,0.000000000000000e+00,1.157632940000000e-01,0.000000000000000e+00,gmg
3.333333333333334e-03,128,99846,MITC4,3.201190442415948e-02,0.000000000000000e+00,3.222548190000000e-01,0.000000000000000e+00,gmg
3.333333333333334e-03,256,396294,MITC4,3.202879881214284e-02,0.000000000000000e+00,1.272325381000000e+00,0.000000000000000e+00,gmg
3.333333333333334e-03,512,1579014,MITC4,3.203302226680917e-02,0.000000000000000e+00,3.919560491000000e+00,0.000000000000000e+00,gmg
3.333333333333334e-03,1024,6303750,MITC4,3.203407812219600e-02,0.000000000000000e+00,1.416109299600000e+01,0.000000000000000e+00,gmg
