t/R,nxe,NDOF,elem_type,lin_disp,nl_disp,lin_runtime(s),nl_runtime(s),solver
0.01,32,6534,MITC4,0.0317594,0.0240695,0.0489018,0.513082,direct
0.01,64,25350,MITC4,0.0320299,0.0245206,0.0304036,1.14147,gmg
0.01,128,99846,MITC4,0.0320975,0.0245983,0.0768198,2.54926,gmg
0.01,256,396294,MITC4,0.0321144,0.0246182,0.242729,11.1698,gmg
0.01,512,1579014,MITC4,0.0321186,0.0246264,0.927599,44.0403,gmg
0.01,32,25350,MITC9,0.0321366,0.0246824,0.122258,2.3559,direct
0.01,64,99846,MITC9,0.0321253,0.0246437,0.605364,11.9455,direct
0.01,128,396294,MITC9,0.0321206,0.0246313,3.42485,63.6619,direct
0.01,16,14406,MITC16,0.0321732,0.0263271,0.0850761,3.58509,direct
0.01,32,56454,MITC16,0.0321691,0.0264135,0.255054,13.7061,direct
0.01,32,6534,CFI4,0.00957414,0.00969695,0.0485391,0.253597,direct
0.01,64,25350,CFI4,0.0202526,0.018712,0.0252904,1.06556,gmg
0.01,128,99846,CFI4,0.0280202,0.0229178,0.078269,2.42294,gmg
0.01,256,396294,CFI4,0.030987,0.0241811,0.243044,9.93738,gmg
0.01,512,1579014,CFI4,0.0318292,0.0245162,0.929388,40.406,gmg
0.01,32,25350,CFI9,0.0320517,0.024578,0.037337,1.74843,gmg
0.01,64,99846,CFI9,0.0321143,0.0246198,0.618317,9.28181,direct
0.01,128,396294,CFI9,0.0321198,0.0246245,0.287166,21.0387,gmg
0.01,256,1579014,CFI9,0.0321202,0.0246281,1.12604,182.763,gmg
1.000000000000000e-02,16,14406,CFI16,3.212071326097672e-02,2.458920892005935e-02,8.401541600000000e-02,1.258753809000000e+00,direct
1.000000000000000e-02,32,56454,CFI16,3.212019719093979e-02,2.460508141117772e-02,1.524249210000000e-01,5.613473809000000e+00,gmg
1.000000000000000e-02,64,223494,CFI16,3.212018509859670e-02,2.462490481644652e-02,1.016461068000000e+00,1.973124095700000e+01,gmg
0.01,16,3179,HR4,0.0308572,nan,0.0771402,13.4912,direct
0.01,32,11979,HR4,0.0319405,nan,0.320066,68.8143,direct
1.000000000000000e-02,64,46475,HR4,3.221077404106822e-02,nan,1.308668802000000e+00,5.910000000000000e-07,direct
1.000000000000000e-02,128,183051,HR4,3.227831568507744e-02,nan,6.724815246000000e+00,6.310000000000000e-07,direct
1.000000000000000e-02,16,14406,LFI16,3.212071326093616e-02,2.456051408202031e-02,8.446237600000001e-02,1.249727073000000e+00,direct
1.000000000000000e-02,32,56454,LFI16,3.212019852046211e-02,2.461460934453612e-02,2.678232290000000e-01,4.864869736000000e+00,direct
1.000000000000000e-02,64,223494,LFI16,3.212018547439385e-02,2.462500644714062e-02,1.522488586000000e+00,2.758566358300000e+01,direct
